Filename,Avg_Peak_to_Peak_1st_MFCC,Avg_Peak_to_Peak_2nd_MFCC
"Aage Bhi Jaane Na Tu Waqt (1965)  Asha Bhosle Shashikala, Raaj Kumar, Sadhana, Sunil Dutt_MFCC.csv",4.076908257336018,2.3821329946058687
Aaja Sanam Madhur Chandni Mein Hum 4K  Chori Chori Song In Color  Raj Kapoor  Nargis_MFCC.csv,4.552573380886294,2.574478752687117
AANKHON MEIN KYA JEE -  ASHA BHOSLE -  KISHORE KUMAR - MAJROOH - SD BURMAN ( NAU DO GYARAH  1957)_MFCC.csv,5.12842920516541,2.8215441456035983
"AAO HUZOOR TUMKO Full Song 4K - Asha Bhosle HIT Song - Kismat Movie Songs - Biswajeet, Babita_MFCC.csv",5.515402640127388,2.644508611654696
"Ab Ke Sajan Saawan Mein  Lata Mangeshkar  Chupke Chupke 1975 Song  Sharmila Tagore, Dharmendra_MFCC.csv",4.8791671563472,3.0146612327800866
"Asha Bhosle - Dum Maro Dum (1971, Video)_MFCC.csv",5.443391853669939,2.7033505797662456
Asha Bhosle - Raagini (1958) - 'chhota sa baalma'_MFCC.csv,5.799205080091392,3.8913733653760647
Asha Bhosle Live 'In Aankhon Ki Masti' at BBC Studio_MFCC.csv,5.554909588914346,2.5661150804987662
Bahon Mein Chale Aao with lyrics  बाँहों में चले आओ  Lata Mangeshkar  R.D.Burman  Anamika_MFCC.csv,5.100999010916077,2.550940689027159
Bheegi Bheegi Raaton Mein HD_MFCC.csv,5.2535425429680105,2.748849030782699
"Chori Se Saiyan Ne Mohe Pukara  Asha Bhosle  Shart 1969 Songs  Mumtaz, Sanjay Khan_MFCC.csv",6.033803771512729,3.4899540685041024
Chura Liya Hai Tumne Live by Asha Bhosle_MFCC.csv,5.226362655999705,2.6445132415679327
Daiya Yeh Main Kahan Phasi Hd Song - Asha Bhosle  Asha Parekh  Jeetendra  Caravan_MFCC.csv,5.401319255593156,2.945555201746883
dil cheez kya hai..ghazal..asha bhosle..film umrao jaan_MFCC.csv,4.167729814707053,2.3261266459403998
DIL KA SOONA SAAZ TARANA DHOONDEGA MD RAFI SB MY IDEAL BABA GURU RASHID_MFCC.csv,4.99935164487558,2.5726319595107547
Ek Main Aur Ek Tu with lyrics  एक मैं और एक तू  Khel Khel Mein  Rishi Kapoor  Nitu Singh_MFCC.csv,5.268619029748198,2.9112942388635523
"Hum Tumse Juda Hoke Full Video song- Ek Sapera Ek Lutera  Feroz Khan, Kumkum #humtumsejudahoke_MFCC.csv",2.876569664639908,2.056355337296742
Hungama Ho Gaya  Anhonee (1973)  Bindu  Asha Bhosle Hits  Bollywood Dance Song_MFCC.csv,4.355306517705768,2.6723893420875853
Jaaiye Aap Kahan Jayenge  Mere Sanam (1965)  Asha Parekh  Biswajit Chatterjee  Asha Bhosle_MFCC.csv,4.76583864544617,2.090598740144223
"Jaane Ja Dhoondta Phir Raha  Kishore Kumar, Asha Bhosle  Jawani Diwani 1972 Songs  Randhir Kapoor_MFCC.csv",4.287599225210567,2.359980830734622
Jab Chhaye Mera Jadoo (Bollywood Classic) जब छाए मेरा जादू (लूट मार)_MFCC.csv,5.269589077380526,2.535242127885649
"Jaiyo Na Jaiyo Na Lyrical Video  GURU  Mithun Chakraborty, Sridevi_MFCC.csv",4.0063245641675165,2.453064523558246
Jhoomka Gira Re 4K Song - Asha Bhosle Hit Songs - Mera Saaya Movie Songs  Sadhana_MFCC.csv,7.298573822182894,3.6283459467564345
Kali Ghodi Dwar Khadi Deepti Naval_MFCC.csv,4.435542163993891,2.570292721029019
Katra Katra Milti Hai Katra Katra Jeene Do  Asha Bhosle  Ijaazat 1987 Songs  R. D. Burman  Rekha_MFCC.csv,5.514387149495628,3.303084051244116
Khatouba   Asha Bhosle  Alibaba Aur 40 Chor  R D Burman  Zeenat Aman_MFCC.csv,4.989457567769063,2.4918205706915577
Kuchh Toh Log Kahenge Song  4K Ultra HD  Rajesh Khanna  Kishore Kumar  Sharmila Tagore_MFCC.csv,2.690010284184514,1.8899687445313933
Lekar Hum Deewana Dil - Yaadon Ki Baaraat (1973) HD 1080p 4K_MFCC.csv,4.194435765520711,2.624766129228576
"Lyrical  Zara Sa Jhoom Loon Main  Dilwale Dulhania Le Jayenge  Shah Rukh Khan, Kajol  DDLJ Songs_MFCC.csv",5.871122504349671,2.9901359953868027
Mera Kuch Samaan  Asha Bhosle  Ijaazat 1987 Songs  Anuradha Patel_MFCC.csv,8.107049728073724,4.164588504391032
"Nigahein Milane Ko Jee Chahta Hai - Asha Bhosle - Raj Kapoor, Nutan_MFCC.csv",4.755618107158724,3.129171099114415
"O Haseena Zulfonwali  Shammi Kapoor, Asha Parekh   Mohammed Rafi, Asha Bhosle (English Subtitle)_MFCC.csv",4.809475690901007,2.613276819632038
"O Mere Sona Re - Asha Bhosle, Mohmmad Rafi  Teesri Manzil_MFCC.csv",8.95447032677761,3.582939744043589
O Sathi re tere Bina bhi kya jina female version HD video_MFCC.csv,4.56409537831714,2.3952808816391915
Parde Mein Rehne Do Full Video Song  Asha Bhosle Songs  Shikar Movie  Romantic Song  Hindi Gaane_MFCC.csv,6.311993173524972,3.353854852890989
"Piya Bina Piya Bina  पिया बिना पिया बिना  Lata Mangeshkar  Amitabh, Jaya Bhaduri  Lyrical Gaane_MFCC.csv",4.043591767280773,2.345514665159459
Piya Tu Ab To Aaja HD Song - Helen  Asha Bhosle  R.D. Burman  Caravan_MFCC.csv,5.978529432810938,3.189289352924308
Raat Akeli Hai - Song  Jewel Thief (1967)_MFCC.csv,5.160194442635944,2.803727923846876
Rangeela Re-Prem Pujari 1970-Full HD Video song- Dev Anand-Waheeda Rehman_MFCC.csv,3.8311720731121355,2.6289111613930913
"Sapna Mera Toot Gaya - Asha Bhosle, R D  Burman @ Rishi Kapoor, Neetu Singh_MFCC.csv",3.8923208967317207,2.622634841116435
"Shaam Hai Dhuan Dhuan (HD)  Ajay Devgn, Madhoo  Diljale Song  Poornima  90s Superhit Dance Song_MFCC.csv",9.097885802309786,4.754787181305112
Tanha Tanha Yahan Pe Jeena  Urmila Matondkar  Jackie Shroff  Asha Bhosle  Rangeela  90's Songs_MFCC.csv,8.563214173765912,3.2651874475467446
Teesri Manzil - Aaja Aaja_MFCC.csv,4.908502839967553,2.3017355188307547
"Tum Jo Mil Gaye Ho To Yeh Lagta Hai 4K  Mohammed Rafi, Lata Mangeshkar  Hanste Zakham Songs_MFCC.csv",3.7207808740188604,2.1779526461166636
Ye Hai Reshmi Zulfon Ka Andhera  Mere Sanam (1965)  Mumtaz  Asha Bhosle  Filmi Gaane_MFCC.csv,6.011759963015809,2.970266795537355
Yeh Mera Dil Yaar Ka Diwana  Don  Amitabh Bachchan & Zeenat Aman  Asha Bhosle_MFCC.csv,4.710390323830651,2.0750916661112946
Zindagi Ek Safar Hai Suhana (Female)  Andaz (1971)  Hema Malini  Shammi Kapoor  Hindi Song_MFCC.csv,6.018198725079211,2.652484293281339
[4K] आ ज़रा मेरे हम नशीन थाम ले - Full Video  Mohammed Rafi  Poonam Film Songs  Hindi Purane Songs_MFCC.csv,3.486152741806874,2.8243759236065706
"छोड़ दो आँचल ज़माना - Chhod Do Aanchal Zamana -  HD वीडियो सोंग - आशा भोंसले, किशोर कुमार_MFCC.csv",6.580072277481324,4.348781840749849
मैं तो बेघर हूँ  Main To Beghar Hoon  Suhaag 1979 Songs  Asha Bhosle  Shashi Kapoor  Evergreen_MFCC.csv,4.568910084250782,2.632423750762159
