File_Number,KMeans_Cluster,KMeans_Confidence,DBSCAN_Cluster,Agglomerative_Cluster,Agglomerative_Confidence,GMM_Cluster,GMM_Confidence
1,5,0.80907009787287,1,1,0.6176813213051833,5,0.9999999999997575
2,5,0.8816415009364528,1,1,0.6456009700831632,5,1.0
3,1,0.8044390647615315,1,5,0.7516728075146399,1,1.0
4,4,0.666617725348658,1,2,0.6314684534077016,4,0.9999999999945786
5,6,0.7972506290132333,1,4,0.6789939554967597,6,0.9999999800183661
6,4,0.6571547516082806,1,2,0.6106267759936405,4,0.9999999999843387
7,4,0.6683389867578766,1,3,0.5011901463223482,4,0.9999996712440063
8,3,0.7280407641651844,1,2,0.5578086728067085,3,1.0
9,2,0.7022537179555592,1,3,0.5513016207726077,2,1.0
10,2,0.6470464952019717,1,2,0.4589043364963458,5,0.9999999967915585
11,4,0.733536685932034,1,2,0.7151339756650215,4,0.9999984266549196
12,3,0.6411707896832075,1,1,0.44456102178108964,3,0.9999998480822221
13,4,0.798156743031613,1,2,0.7055551655900933,4,0.9999999684145565
14,4,0.29054954642895636,1,2,0.5412019595491806,4,1.0
15,4,0.7520228939170293,1,2,0.6576317060666305,4,0.99999999986251
16,5,0.4414917910685069,1,1,0.5871200873674561,5,1.0
17,5,0.6816053199419423,1,1,0.6326643772162266,5,0.9999963670984416
18,6,0.676651444386142,1,4,0.6187591766160437,6,1.0
19,4,0.6224855416139208,1,2,0.6080150365418898,4,1.0
20,1,0.8754157739522634,1,5,0.8099597611095892,1,1.0
21,4,0.7697581995196708,1,2,0.6816866890153317,4,0.9999999998754303
22,4,0.789098012194148,1,2,0.7119325744129417,4,0.9999977096048831
23,2,0.7631939862291607,1,3,0.5818957843477532,2,0.9999798140129462
24,3,0.7058123510693044,1,1,0.4190872301717253,3,0.9998721206721171
25,4,0.7187753626898639,1,2,0.6484840142267545,4,1.0
26,6,0.7557473817868895,1,4,0.7356219707077576,6,1.0
27,5,0.6898776080673853,1,1,0.6004950783242511,5,1.0
28,2,0.7360049258134889,1,3,0.5368972797799442,2,1.0
29,2,0.6862641539817145,1,3,0.5512294923677404,2,1.0
30,4,0.6943191789230623,1,2,0.673531069128361,4,1.0
31,5,0.697049707343461,1,1,0.6204972381142625,5,0.9999999999041727
32,3,0.8027693967289143,1,1,0.3751052531776431,3,0.9993230918121722
33,4,0.6779579155245405,1,3,0.4472609766917677,4,0.9999999748083551
34,3,0.593567160372735,1,1,0.5122612020914064,3,1.0
35,5,0.818004667464221,1,1,0.6032706838306856,5,0.9999998681910764
36,4,0.7662354585170419,1,2,0.6546950204381631,4,0.9996099434226703
37,4,0.813980510371792,1,2,0.7295091181976799,4,0.9999999997741444
38,2,0.7423905726008198,1,3,0.6128020201510687,2,0.9999999996178746
39,4,0.8110901701453817,1,2,0.733009123226467,4,0.9999999997105085
40,2,0.599327355310356,1,3,0.5715383589295056,2,0.9999988895960384
41,3,0.8190148788864862,1,2,0.705655389818742,4,0.9997943685928463
42,4,0.7272151841221317,1,2,0.6354271656293674,4,0.9999954422019985
43,4,0.832597218361854,1,2,0.6827195812525855,2,1.0
44,1,0.863067765360124,1,5,0.8091941636765181,1,1.0
45,5,0.5429533587874962,1,1,0.5665742771431992,5,1.0
46,2,0.6561812231075483,1,3,0.5374107751597378,2,1.0
47,4,0.6286144560299031,1,2,0.6767754963916144,4,0.9999999999930651
48,4,0.7742653885008003,1,3,0.38863190686575544,4,0.9998474291749838
49,4,0.7754248823553366,1,2,0.7006889016379545,4,0.9999999999944609
50,2,0.8143870391412417,1,3,0.5459894641536128,2,1.0
51,6,0.7562225481341724,1,4,0.7394374339904819,6,0.9999999999936464
52,4,0.6204766956390848,1,2,0.64433895778823,4,1.0
53,3,0.7194901119094942,1,2,0.5995469134740492,3,0.9999927719311907
54,4,0.8871060398282571,1,2,0.7372113145435583,4,0.9999936714532134
55,4,0.6773824884152913,1,2,0.6553841996608636,4,0.9999992712076642
56,4,0.7867921386592803,1,2,0.624687876731155,4,0.9999999764499871
57,4,0.6982191760218133,1,2,0.612397705189718,4,0.9999996264006926
58,4,0.8185289418631324,1,2,0.6780224503004203,4,0.9999999924042295
59,2,0.6010656294327403,1,3,0.46880882128530177,2,1.0
60,4,0.6083937665114936,1,2,0.5904097076176157,4,0.9999999963978636
61,5,0.5798946287504074,1,1,0.5632530920059087,5,1.0
62,4,0.7802282499459576,1,2,0.6544249670794839,4,0.9999961798923116
63,6,0.8323425723017686,1,4,0.690453065053529,6,0.9999999999999973
64,4,0.7862349167491849,1,2,0.66706487725714,4,0.9999942564611379
65,4,0.7105822583326077,1,3,0.41997483162659954,4,0.9999796989233671
66,2,0.4603712183987899,1,3,0.5680449014081159,2,1.0
67,2,0.27822124679902893,1,6,0.5,2,1.0
68,4,0.7919245257721902,1,2,0.7059428404689775,4,0.9999966018170252
69,3,0.5919810180281277,1,2,0.6087129955466369,3,0.9999999999646132
70,4,0.6502630060474663,1,2,0.6632423750849181,4,0.9999999999976552
71,2,0.6707921406989912,1,3,0.5249297115928117,2,1.0
72,4,0.7983739820152697,1,2,0.6693388393301203,4,0.9999999999900906
73,4,0.6967581985835205,1,2,0.646999048749607,4,0.9999999998850413
74,3,0.6444785185834766,1,2,0.5114771554951002,3,0.9999999159810029
75,5,0.7754387712769073,1,1,0.6484139111988018,5,1.0
76,4,0.81224104117311,1,2,0.678765336242307,4,0.9999999601387652
77,4,0.859872657706249,1,2,0.6900835445222402,4,0.9989572123180969
78,3,0.6645757340191468,1,2,0.48390609889598146,3,0.9999999510934824
79,4,0.7271717845767088,1,3,0.39074346286369377,4,0.9999995001092189
80,2,0.7403347022887166,1,3,0.6191473887680432,2,0.9999976750575508
81,5,0.6785725153771429,1,1,0.5002889738594982,5,1.0
82,2,0.6068329101527095,1,3,0.6265529591227481,2,1.0
83,2,0.7094296401668438,1,3,0.48934479041345474,2,1.0
84,6,0.8196619002309457,1,4,0.7522148608323141,6,0.999999999999966
85,4,0.811291634789917,1,2,0.7113189363316029,4,0.9999999152748464
86,3,0.65985402641394,1,2,0.6344847977625487,3,0.9999952327561319
87,5,0.8100375981331585,1,1,0.6076419702801221,5,1.0
88,4,0.666916036958217,1,2,0.6225507617842321,4,0.9999730029744547
89,4,0.712823931749644,1,2,0.7110350407869634,4,0.9999999356077557
90,5,0.8061337212846675,1,1,0.6325247544613088,5,1.0
91,4,0.8489763170194278,1,2,0.7022455989435953,4,0.999999968649125
92,4,0.7319141841013725,1,2,0.5459602907604301,4,0.9999999993528883
93,6,0.5224381573358408,1,3,0.5072178049072418,6,1.0
94,4,0.7132762897760496,1,3,0.4372401502369815,4,0.9935691817241727
95,5,0.7605753369019405,1,1,0.5600856129630061,5,1.0
96,2,0.7668088873408565,1,3,0.5071819347019301,2,1.0
97,6,0.834146807829276,1,4,0.7215303374310262,6,0.9999999999726139
98,3,0.4958785532229293,1,2,0.5976645907543376,3,1.0
99,4,0.7932180516668068,1,2,0.7224252112059849,4,0.9999840750023163
100,6,0.8613804051712445,1,4,0.7332842335468148,6,0.9999999417936174
101,4,0.725854832146364,1,3,0.46388450636567546,4,0.9999323865865801
102,2,0.7254292822834342,1,3,0.6074572488700133,2,1.0
103,1,0.8775248556818738,1,5,0.8052719679532925,1,1.0
104,4,0.6560818601397214,1,2,0.6633399338770409,4,0.9999999862258271
105,2,0.7406470783498984,1,3,0.6349819590575597,2,1.0
106,4,0.6748568494130549,1,2,0.586845238639784,4,0.9999992007319453
107,5,0.7640256347997761,1,1,0.6067527154626644,5,0.9999999882770503
108,5,0.6786072646420283,1,1,0.5744020687581626,5,1.0
109,4,0.7282498944646553,1,2,0.6891097498248862,4,0.9999999987927433
110,4,0.5814019857525233,1,3,0.43895451216536524,4,0.9999999999957767
111,6,0.8313308514583488,1,4,0.7159137215140456,6,0.9999999300596687
112,4,0.689094464811817,1,2,0.6698490017013612,4,0.9999997449859409
113,4,0.7402746705100484,1,2,0.6879123714243323,4,0.9999999999999944
114,3,0.687132865958014,1,1,0.5195456814560868,3,0.999999982722999
115,2,0.7163585272611577,1,3,0.5629312522977425,2,1.0
