File_Number,KMeans_Cluster,GMM_Cluster,Agglomerative_Cluster,KMeans_Likelihood_Cluster_1,GMM_Likelihood_Cluster_1,Agglomerative_Likelihood_Cluster_1,KMeans_Likelihood_Cluster_2,GMM_Likelihood_Cluster_2,Agglomerative_Likelihood_Cluster_2,KMeans_Likelihood_Cluster_3,GMM_Likelihood_Cluster_3,Agglomerative_Likelihood_Cluster_3,KMeans_Likelihood_Cluster_4,GMM_Likelihood_Cluster_4,Agglomerative_Likelihood_Cluster_4,KMeans_Likelihood_Cluster_5,GMM_Likelihood_Cluster_5,Agglomerative_Likelihood_Cluster_5,KMeans_Likelihood_Cluster_6,GMM_Likelihood_Cluster_6,Agglomerative_Likelihood_Cluster_6
1,4,4,0,0.09412438204832851,0.0,0.48020209730128255,0.16063698825992437,2.423060810768216e-13,0.16534620820109627,0.16180886984195716,8.366910061458186e-17,0.15002916549553635,0.16979734010193434,5.202166425594033e-186,0.08091432326576119,0.30834762152946465,0.9999999999997575,0.07247585930578945,0.10528479821839101,0.0,0.051032346430534246
2,4,4,0,0.08474537450255457,0.0,0.5048901113498501,0.1484942578592369,4.508600351925301e-30,0.1500124218707077,0.14239881543228064,1.4982097417146165e-47,0.13635379848735066,0.15775839630798147,3.202129789867773e-19,0.08620329870851096,0.3624660353674674,1.0,0.06970787014191603,0.10413712053047905,0.0,0.05283249944166477
3,0,0,4,0.33874608792488137,1.0,0.10560387149162559,0.10970536544168794,4.7467697688928125e-88,0.1443728204639229,0.18715129657151636,5.818625780506226e-36,0.08639178311619461,0.1546663609540946,3.523580396539608e-33,0.0668338444371325,0.11540505927140754,6.903222041533781e-140,0.5514132890631189,0.09432582983641213,0.0,0.04538439142800554
4,3,3,1,0.1304560669444647,0.0,0.14456969703347888,0.14170818454208756,1.4428042436767146e-28,0.47974164703915806,0.2057202719622484,5.422391323694872e-12,0.16977478423825543,0.24727242814262623,0.9999999999945786,0.07130397184712897,0.16932441596466133,2.119721874856011e-102,0.08719987007942778,0.10551863244391188,0.0,0.04741002976255085
5,5,5,3,0.08738198505653332,0.0,0.0970999414822266,0.20545430814722407,1.998163405661777e-08,0.1101632987968797,0.12204367567717705,0.0,0.15821950143975153,0.14609173202170678,0.0,0.5260754293744637,0.13404118871627818,1.1547495106630964e-95,0.05548698520176229,0.30498711038108056,0.9999999800183661,0.05295484370491622
6,3,3,1,0.10530537133693238,0.0,0.1717763081715356,0.15110520389542045,1.5555969446267936e-11,0.46926045063686656,0.18342531335524487,4.095003527578466e-31,0.15712974238241845,0.23959088580647248,0.9999999999843387,0.08542017672198861,0.20287118774356028,1.0570911985956232e-13,0.07000715590135517,0.11770203786236953,0.0,0.04640616618583556
7,3,3,2,0.10369310181702329,0.0,0.12197984546695256,0.21288320006106062,3.287559935964893e-07,0.18615012896750252,0.16179844741458105,3.900743908527386e-75,0.4767069666600267,0.24090866479944534,0.9999996712440063,0.0929147526340659,0.15172092468306594,2.0539179644142016e-72,0.07171662543654772,0.1289956612248238,0.0,0.05053168083490477
8,2,2,1,0.17452938894857625,0.0,0.13501595053638574,0.11883221015151793,3.1594282259255993e-20,0.5153537129457542,0.2605960565801072,1.0,0.10980732876853229,0.19535919621261286,7.296136823140396e-25,0.07065329703535432,0.15624979119760413,1.0664269452338277e-31,0.12163552795826227,0.09443335690958175,0.0,0.04753418275571111
9,1,1,2,0.09501017597886202,0.0,0.09605349359720912,0.2560643677667217,1.0,0.11606282916913606,0.13432275414932357,0.0,0.5421707543207187,0.15808626824738525,0.0,0.13659011499120233,0.14268483378746125,9.052835416098862e-183,0.05757027028241148,0.21383160007024624,0.0,0.0515525376393222
10,1,4,1,0.09529303102340267,0.0,0.16348230847647532,0.22108506328666108,3.2084417220090773e-09,0.487156520947974,0.1526579325328015,4.1367203877203366e-71,0.13610731818861121,0.17817940725392994,2.484595519815986e-71,0.10201345501363836,0.20483897099963533,0.9999999967915585,0.06038085382202415,0.14794559490356957,0.0,0.05085954355127706
11,3,3,1,0.13885036685427038,0.0,0.14356789512635362,0.13109261073419026,3.7661343683636986e-10,0.4907713842981089,0.22311412830217744,1.5729684673232334e-06,0.1444554745551326,0.2651658390238177,0.9999984266549196,0.07532207867562654,0.1439739943558552,1.0986537461861446e-58,0.09842770110933563,0.09780306072968885,0.0,0.04745546623544273
12,2,2,0,0.13303364843983898,0.0,0.45648848990580027,0.14632182906630517,1.5189762362672808e-07,0.18426605342765276,0.22284903513389936,0.9999998480822221,0.15182406936129691,0.21517690275549597,2.0154113033658447e-11,0.06809006171152213,0.18301355624853344,1.7000692008563035e-26,0.09254112409917771,0.0996050283559271,0.0,0.04679020149455024
13,3,3,1,0.1013979733531018,0.0,0.13455017102054348,0.1508056829370018,3.158544345305782e-08,0.47277360752924036,0.18285126165599264,1.2007279472224068e-34,0.18617993210591252,0.3096900489769504,0.9999999684145565,0.08434728796819768,0.1476933282048099,1.5304430470429625e-50,0.07491707354856586,0.10756170487214349,0.0,0.04723192782753996
14,3,3,1,0.15343829067140916,0.0,0.08128381473781636,0.1610686712690117,4.004158665982616e-46,0.659806688429466,0.17822656913042914,0.0,0.08163190901647124,0.19106850289020277,1.0,0.06608936250595858,0.1754299427669033,0.0,0.06809967658410403,0.14076802327204385,0.0,0.04308854872618387
15,3,3,1,0.09594488213522429,0.0,0.16294421916174665,0.16661925038411474,1.3748997538350272e-10,0.44840756938585385,0.1724324557760963,6.59807596259474e-55,0.18986179020113825,0.2688770595119274,0.99999999986251,0.08771263233194264,0.17812726234469367,2.1711905804744335e-22,0.06565920769142186,0.11799908984794363,0.0,0.04541458122789675
16,4,4,0,0.14895602738051297,0.0,0.6131778388966983,0.1602377384411561,1.4460752981895278e-48,0.0936949127954527,0.17646261627733914,7.846836953989185e-40,0.09675321607298387,0.1736667935010909,9.495138895277738e-46,0.06354096213361586,0.21266901483207162,1.0,0.0773686903276153,0.12800780956782928,0.0,0.055464379773633894
17,4,4,0,0.11615770605546494,0.0,0.521042553365824,0.15543538961232903,9.024512662511691e-32,0.13891483632887774,0.18841913300253285,3.6329015585539764e-06,0.12826619818988128,0.17342697350452932,8.518137244842261e-253,0.07448569959461962,0.260033877228842,0.9999963670984416,0.08322267566779372,0.10652692059630171,0.0,0.05406803685300365
18,5,5,3,0.11007439349766747,0.0,0.08779603545821497,0.18272798877780586,8.337903313685281e-36,0.10429033582015416,0.14499952103464855,0.0,0.13260803735304957,0.15981549578274573,0.0,0.5597708825370684,0.1307587750400432,0.0,0.06784682751732504,0.2716238258670891,1.0,0.04768788131418782
19,3,3,1,0.12485835114246235,0.0,0.12636768373198828,0.1663983333636271,1.9791541028300202e-23,0.48806920691004757,0.178863170513231,4.0024180598627467e-29,0.17445000017590495,0.2543389619085326,1.0,0.08084777104850485,0.15483905057328867,1.2465176325261486e-108,0.08073268252957473,0.12070213249885821,0.0,0.04953265560397977
