File_Number,KMeans_Cluster,DBSCAN_Cluster,Agglomerative_Cluster
1,4,-1,0
2,4,-1,0
3,0,-1,4
4,3,-1,1
5,5,-1,3
6,3,-1,1
7,3,-1,2
8,2,-1,1
9,1,-1,2
10,1,-1,1
11,3,-1,1
12,2,-1,0
13,3,-1,1
14,3,-1,1
15,3,-1,1
16,4,-1,0
17,4,-1,0
18,5,-1,3
19,3,-1,1
20,0,-1,4
21,3,-1,1
22,3,-1,1
23,1,-1,2
24,2,-1,0
25,3,-1,1
26,5,-1,3
27,4,-1,0
28,1,-1,2
29,1,-1,2
30,3,-1,1
31,4,-1,0
32,2,-1,0
33,3,-1,2
34,2,-1,0
35,4,-1,0
36,3,-1,1
37,3,-1,1
38,1,-1,2
39,3,-1,1
40,1,-1,2
41,2,-1,1
42,3,-1,1
43,3,-1,1
44,0,-1,4
45,4,-1,0
46,1,-1,2
47,3,-1,1
48,3,-1,2
49,3,-1,1
50,1,-1,2
51,5,-1,3
52,3,-1,1
53,2,-1,1
54,3,-1,1
55,3,-1,1
56,3,-1,1
57,3,-1,1
58,3,-1,1
59,1,-1,2
60,3,-1,1
61,4,-1,0
62,3,-1,1
63,5,-1,3
64,3,-1,1
65,3,-1,2
66,1,-1,2
67,1,-1,5
68,3,-1,1
69,2,-1,1
70,3,-1,1
71,1,-1,2
72,3,-1,1
73,3,-1,1
74,2,-1,1
75,4,-1,0
76,3,-1,1
77,3,-1,1
78,2,-1,1
79,3,-1,2
80,1,-1,2
81,4,-1,0
82,1,-1,2
83,1,-1,2
84,5,-1,3
85,3,-1,1
86,2,-1,1
87,4,-1,0
88,3,-1,1
89,3,-1,1
90,4,-1,0
91,3,-1,1
92,3,-1,1
93,5,-1,2
94,3,-1,2
95,4,-1,0
96,1,-1,2
97,5,-1,3
98,2,-1,1
99,3,-1,1
100,5,-1,3
101,3,-1,2
102,1,-1,2
103,0,-1,4
104,3,-1,1
105,1,-1,2
106,3,-1,1
107,4,-1,0
108,4,-1,0
109,3,-1,1
110,3,-1,2
111,5,-1,3
112,3,-1,1
113,3,-1,1
114,2,-1,0
115,1,-1,2
