File_Number,KMeans_Cluster,DBSCAN_Cluster,Agglomerative_Cluster
1,2,-1,5
2,1,-1,2
3,2,-1,4
4,5,-1,1
5,3,-1,3
6,5,-1,0
7,4,-1,0
8,2,-1,4
9,3,-1,3
10,1,-1,0
11,2,-1,0
12,0,-1,1
13,5,-1,1
14,1,-1,0
15,5,-1,0
16,1,-1,2
17,1,-1,2
18,3,-1,3
19,5,-1,1
20,2,-1,4
21,1,-1,2
22,1,-1,0
23,4,-1,0
24,1,-1,2
25,4,-1,0
26,3,-1,3
27,4,-1,5
28,3,-1,3
29,3,-1,3
30,4,-1,0
31,1,-1,5
32,5,-1,1
33,5,-1,1
34,0,-1,4
35,2,-1,5
36,4,-1,0
37,1,-1,2
38,4,-1,0
39,5,-1,1
40,4,-1,0
41,5,-1,1
42,5,-1,1
43,5,-1,1
44,0,-1,4
45,2,-1,4
46,3,-1,3
47,5,-1,0
48,1,-1,2
49,5,-1,1
50,3,-1,3
51,3,-1,3
52,4,-1,0
53,2,-1,4
54,1,-1,0
55,1,-1,2
56,5,-1,1
57,1,-1,2
58,1,-1,2
59,3,-1,3
60,4,-1,0
61,2,-1,5
62,5,-1,1
63,3,-1,3
64,4,-1,0
65,1,-1,2
66,3,-1,3
67,3,-1,3
68,2,-1,0
69,2,-1,4
70,5,-1,1
71,4,-1,0
72,5,-1,1
73,5,-1,1
74,0,-1,4
75,1,-1,5
76,5,-1,0
77,5,-1,1
78,2,-1,4
79,5,-1,1
80,4,-1,0
81,1,-1,2
82,3,-1,3
83,3,-1,3
84,3,-1,3
85,5,-1,1
86,2,-1,4
87,2,-1,5
88,1,-1,2
89,5,-1,0
90,2,-1,5
91,5,-1,1
92,1,-1,0
93,3,-1,3
94,4,-1,0
95,2,-1,5
96,3,-1,3
97,3,-1,3
98,2,-1,4
99,5,-1,1
100,3,-1,3
101,4,-1,0
102,4,-1,0
103,0,-1,4
104,2,-1,0
105,4,-1,0
106,4,-1,0
107,2,-1,5
108,2,-1,5
109,4,-1,0
110,4,-1,0
111,3,-1,3
112,5,-1,1
113,5,-1,2
114,2,-1,4
115,4,-1,0
116,1,-1,2
